,Artist,Lyrics,Song
326,Elle King,"['You think your words will make me black and blue', ""But I, I think I'm pretty with these old boots on\nI think it's funny when I drink too much, hey\nYou try and change me, you can go to hell\nCause I don't want to be nobody else\nI like the chip I got in my front teeth\nAnd I got bad tattoos you won't believe"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""What do you want from me? I'm not America's sweetheart\nSo beat the drum with me, I'm not America's sweetheart"", ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", ""What do you want from me, I'm not America's sweetheart\nBut you love me anyway"", 'My hands are dirty and my heart is cold', ""The boys I've been with say I got no soul\nWhen I, I meet another honey at the bar\nI'll think it's funny when I break his heart, mmm now"", 'My kind of medicine is whiskey straight', 'I got a mouth to put you in your place', ""And they, they said I'll never be the poster type\nBut they don't make posters of my kind of life"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", 'So kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', 'Kick out the jams, kick up the soul\nPour another glass of that rock and roll\nTurn up the band, fire in the hole\nGonna lose control tonight', ""What do you want from me? I'm not America's sweetheart\nSo beat the drum with me, I'm not America's sweetheart"", ""Well, they say I'm too loud for this town\nSo I lit a match and burned it down"", ""What do you want from me, I'm not America's sweetheart\nBut you love me anyway\nYou love me anyway\nYou love me anyway"", ""I'm not America's sweetheart, no, no, no""]",America's Sweetheart
327,Mumford & Sons,"['And in time\nAs one reminds the other of the past', 'A life lived much too fast to hold onto', 'How am I losing you?', ""A broken house\nAnother dry month waiting for the rain\nAnd I had been resisting this decay\nI thought you'd do the same"", ""[Hook]\nBut this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", 'And so I cry\nAs I hold you for the last time in this life\nThis life I tried so hard to give to you\nWhat would you have me do?', ""But this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", 'Where I used to end was where you start', 'You were the only one\nAnd now I see your eyes move too fast\nYou were the only one', 'And wandering without that much to say\nYour words are empty as the bed we made', 'Is there another way?\nOh love, is there another way?', ""But this is all I ever was\nAnd this is all you came across those years ago\nNow you go too far\nDon't tell me that I've changed because that's not the truth\nAnd now I'm losing you"", ""And now I'm losing you""]",Ditmas
328,The Struts,"['Thomas said stay home', 'Get away from me\nSaying I was bad for you', ""He got his way\nI'm gone for good"", 'Making up stories\nKeeping it secret', 'Taking your word for truth', ""You were bad for me\nSo I'm gone for good"", ""I did all I could\nSo kiss this one more time\nCause I'm gone for good\nYou misunderstood\nSo kiss this one last time\nAnd I'm gone for good"", ""Thomas said sorry\nComing home crawling\nDidn't give a shit before\nHe stole from me"", ""Getting back from this no second chances\nAnother phone call ignored\nYou are back for me\nBut I'm gone for good"", 'So kiss this one more time', '[Bridge: Luke Spiller]\nCan I get a little?\nAh ah ah a-h\nAh ah ah a-h\nAh ah ah a-a-h\nKiss this\nAh ah ah a-h\nAh ah ah a-h\nAh ah ah a-a-h\nKiss this\nKiss this\nI did all I could\nSo kiss this one more time\nOne more time', ""I did all I could\nSo kiss this one more time\nCause I'm gone for good\nYou misunderstood\nSo kiss this one last time\nAnd I'm gone for good""]",Kiss This
329,Bring Me The Horizon,"[""S-P-I-R-I-T, spirit\nLet's hear it\nS-P-I-R-I-T, spirit\nLet's hear it\nLet's go"", ""I've had enough\nThere's a voice in my head\nSays I'm better off dead"", ""But if I sing along a little fucking louder\nTo a happy song, I'll be alright"", ""You want to give up\nGave it all that you've got\nAnd it still doesn't cut"", ""But if you sing along a little fucking louder\nTo a happy song\nYou'll be just fine cause"", 'Every now and again we get the feeling\nAnd the great big void inside us opens up\nAnd I really wish that you could help', ""But my head is like a carousel and\nI'm going round in circles, going round in circles"", ""S-P-I-R-I-T, spirit\nLet's hear it\nS-P-I-R-I-T, spirit\nLet's hear it"", ""We are possessed\nWe're all fucked in the head\nAlone and depressed"", ""But if we sing along a little fucking louder\nTo a happy song\nMaybe we'll forget cause"", 'Every now and again we get the feeling\nAnd the great big void inside us opens up\nAnd I really wish that you could help', ""But my head is like a carousel and\nI'm going round in circles, going round in circles"", ""Don't wake us up\nWe’d rather just keep dreaming\nCause the nightmares in our heads are bad enough\nAnd I really wish that you could help"", ""But my head is like a carousel\nAnd I'm going round in circles, I'm going round in circles"", 'The world has coalesced\nInto one giant mess of hate and unrest', ""So let's sing along a little goddamn louder\nTo a happy song and pretend it's all okay"", ""Sing along\nLet's sing along\nA little fucking louder\nA little fucking louder\nWell don't you feel so much better"", ""S-P-I-R-I-T, spirit\nLet's hear it\n(Well that's the spirit)\nS-P-I-R-I-T, spirit\nLet's hear it\n(Yeah, that's the spirit)""]",Happy Song
330,BORNS,"[""I'll dive in deeper, deeper for you"", 'Down to the bottom, 10,000 emerald pools\nDown to the bottom, 10,000 emerald pools', 'Under water\nTime is standing still', ""You're all I need to breathe\nAll I need is you!"", 'Under water\nTime is standing still', 'Down to the bottom, 10,000 emerald pools']","10,000 Emerald Pools"
331,A Day To Remember,"[""I'm like a time bomb ticking in your head\nParanoia clouding your judgement\nAnd no matter what you do about it, about it, about it\nI'm still in your head"", ""I'm like a time bomb ticking in your head\nParanoia clouding your judgement\nAnd no matter what you do about it, about it, about it\nI'm like a time bomb ticking in your head\nParanoia clouding your judgement\nAnd no matter what you do about it, about it, about it""]",Paranoia
332,Ben Rector,"['I feel like new sunglasses\nLike a brand new pair of jeans\nI feel like taking chances\nI feel a lot like seventeen', 'I feel like a young John Cusack']",Brand New
333,Hozier,"['[Humming]', 'Some would sing and some would scream', ""You'll soon find you have few choices"", 'I learned the voices died with me', ""When I was a child, I'd sit for hours\nStaring into open flames\nSomething in it had a power\nCould barely tear my eyes away"", 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", 'I knew that something would always rule me', 'I knew this scent was mine alone', 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash"", ""When I knew love's perfect ache"", 'But my peace has always depended\nOn all the ashes in my wake', 'All you have is your fire\nAnd the place you need to reach', ""Don't you ever tame your demons\nBut always keep them on a leash""]",Arsonist's Lullabye
334,AWOLNATION,"['Last night I fell apart\nBroke from my swollen heart', 'Born in a simple time\nRaised with a simple mind', 'You, you, you may be a natural, woman\nYou may be a natural, woman\nYou, you may be a natural, woman\nYou may be a natural, woman', ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""I may be worthless without you\nI'll never decide to replace you\nAmen, the worst is behind us now\n(Woman woman)\n(Woman)"", 'Last night I fell apart\nChoked on my drunken heart', ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""Who's that (woman woman)?\nThere's that (woman woman)\nBe my (woman woman)\nWon't you see me in the dark?"", ""I may be worthless without you\nI'll never decide to replace you"", 'Amen, the worst is behind us now\n(Woman woman)', ""I may be worthless without you\nI'll never decide to replace you""]",Woman Woman
335,JR JR,"[""I've made up my mind over and over\nKeep pressing rewind but I'm getting older\nTried every door, don't know who I'm looking for\nAnd I've made up my mind over and over"", ""I can't be everything you want me to be"", ""Finally, I can see the light through the leaves\nBut it's all gone\nBut it's all gone"", ""What comes from the ground now is returning\nIt's all the same sound and my ears are burning""]",Gone
336,Weezer,"['Cobwebs on your eyelids', 'Stuck in rigor mortis', ""Just get going\n'Til you hit the ocean\nAnd you turn Californian"", ""You don't have to have the answers\nDon't you worry"", ""It's gonna be alright\nIf you're on a sinking ship (oo-wee-oo)\nThe California kids\nWill throw you a lifeline"", ""And if you're up all night\nThinking about something you did (oo-wee-oo)\nThe California kids\nWill show you the sunshine"", 'In your bare feet\nIn mid-January\nSwimming in the mystery', ""Second-guessing\nAlmost everything\nDon't you worry\nDon't you worry"", ""It's gonna be alright\nIf you're on a sinking ship (oo-wee-oo)\nThe California kids\nWill throw you a lifeline"", 'Will show you the starlight', 'All your old friends\nChilling back in Boston\nYou never forgot them', ""It's gonna be alright\nIf you're on a sinking ship (oo-wee-oo)\nThe California kids\nWill throw you a lifeline"", ""And if you're up all night\nThinking about something you did (oo-wee-oo)\nThe California kids\nWill show you the sunshine\nThe California kids\nWill show you the starlight""]",California Kids
337,St. Lucia,"['Science and reason will tell us so\nThe blood in our veins are just chemicals', ""You'd better believe I keep my demons to myself"", ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""How high is too low\nWe're not that young"", 'Dancing on glass\nDancing on glass', ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""High high is too low\nWe're not that young"", ""How long 'til we learn\nDancing is dangerous\nHow long 'til we find\nThe devil inside of us"", ""How high is too low\nWe're not that young""]",Dancing On Glass
338,Birdy,"[""Times that I've seen you lose your way\nYou're not in control and you won't be told\nAll I can do to keep you safe is hold you close\nHold you close till you can breathe on your own\nTill you can breathe on your own"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling"", ""Everyone keeps a darker place\nTo lose control, you're not alone"", ""And when you come looking for embrace\nI know your soul; I'll be your home\nTil you can breathe on your own\nTil you can breathe on your own"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up\nAnd I won't let you down"", ""You never think that you can fly\nYou'll always swim against the tide"", ""Don't you know your pain is mine?\nAnd I would die a thousand times to ease your mind\nTo ease your mind"", ""Hold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up, darling\nHold tight; you're slowly coming back to life\nI'll be keeping your head up\nI'll be keeping your head up, darling\nLet go of all your haunted dreams tonight\nI'll be keeping your head up\nI'll be keeping your head up\nAnd I won't let you down""]",Keeping Your Head Up
